Name,Lat,Long,Lat/Long,Price
P & S DELI GROCERY 730 COLUMBUS AVENUE New York NY 10025,40.7925587,-73.9680572,"{lng=-73.96805719999999, lat=40.7925587}",$6.00 
LEXLER DELI 405 LEXINGTON AVENUE New York NY 10174,40.7516269,-73.97535,"{lng=-73.97534999999999, lat=40.7516269}",$5.75 
PLAZA BAGELS & DELI 73 NEW DORP PLAZA New York NY 10306,40.5734023,-74.1177623,"{lng=-74.1177623, lat=40.5734023}",$5.00 
BEN-BEST DELI & RESTAURANT 96-40 QUEENS BOULEVARD New York NY 11374,40.7295323,-73.8613499,"{lng=-73.8613499, lat=40.7295323}",$3.50 
STEVE CHU'S DELI & GROCERY 3406 10 STREET New York NY 11106,40.7595044,-73.9271644,"{lng=-73.9271644, lat=40.7595044}",$3.00 
NORDIC DELICACIES 6909 3 AVENUE New York NY 11209,40.6212119,-74.0329499,"{lng=-74.03294989999999, lat=40.6212119}",$5.25 
SAL'S DELI 129-08 20 AVENUE New York NY 11356,40.7901266,-73.8477874,"{lng=-73.8477874, lat=40.7901266}",$6.50 
DOWNTOWN DELI 107 CHURCH STREET New York NY 10007,40.7132925,-74.0092084,"{lng=-74.00920839999999, lat=40.7132925}",$5.00 
BULLY'S DELI 759 BROADWAY New York NY 10003,40.7309346,-73.9925306,"{lng=-73.9925306, lat=40.7309346}",$4.75 
TONY'S DELI 1069 WYCKOFF AVENUE New York NY 11385,40.694924,-73.902463,"{lng=-73.902463, lat=40.694924}",$5.50 
PJ BERNSTEIN DELI & RESTAURANT 1215 THIRD AVENUE New York NY 10021,40.7684788,-73.9612178,"{lng=-73.9612178, lat=40.7684788}",$6.50 
KANES DELI DINER 4415 COLLEGE POINT BOULEVARD New York NY 11355,40.753323,-73.832379,"{lng=-73.832379, lat=40.75332299999999}",$3.50 
MILL BASIN KOSHER DELI 5823 AVENUE T New York NY 11234,40.6155739,-73.9180116,"{lng=-73.9180116, lat=40.6155739}",$6.75 
KOSHER DELIGHT 1223 AVENUE J New York NY 11230,40.625169,-73.9633849,"{lng=-73.9633849, lat=40.625169}",$3.75 
BEL PAESE ITALIAN DELI 459 LEXINGTON AVENUE New York NY 10017,40.7534139,-73.9743584,"{lng=-73.9743584, lat=40.7534139}",$5.00 
TAL BAGELS DELI 975-979 FIRST AVENUE New York NY 10022,40.7563113,-73.9646617,"{lng=-73.9646617, lat=40.7563113}",$4.50 
BEN ASH DELICATESSEN 855 7 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}",$6.00 
CHAMP'S DELI 71 BROADWAY New York NY 10006,40.7076019,-74.0128495,"{lng=-74.0128495, lat=40.7076019}",$6.25 
STAGE DOOR DELI 26 VESEY STREET New York NY 10007,40.7121042,-74.0097128,"{lng=-74.0097128, lat=40.7121042}",$5.00 
SMILER'S DELI 532 MADISON AVENUE New York NY 10022,40.7605744,-73.9738917,"{lng=-73.9738917, lat=40.7605744}",$6.75 
GLORY DELI 4630 VERNON BOULEVARD New York NY 11101,40.746056,-73.953298,"{lng=-73.953298, lat=40.746056}",$3.00 
SZECHUAN DELIGHT RESTAURANT 152 7 AVENUE New York NY 11215,40.6681669,-73.9800645,"{lng=-73.9800645, lat=40.6681669}",$6.50 
HOME DELI & CATERING 71-35 73 PLACE New York NY 11385,40.6980708,-73.8948295,"{lng=-73.8948295, lat=40.6980708}",$3.75 
J AND L DELI 682 5 AVENUE New York NY 11215,40.6681669,-73.9800645,"{lng=-73.9800645, lat=40.6681669}",$6.00 
