id,Name,Lat,Long,Lat/Long,Price,boro_name,shape_area,shape_leng,boro_code
1,P & S DELI GROCERY 730 COLUMBUS AVENUE New York NY 10025,40.792558700000001,-73.968057200000004,"{lng=-73.96805719999999, lat=40.7925587}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
2,LEXLER DELI 405 LEXINGTON AVENUE New York NY 10174,40.751626899999998,-73.975350000000006,"{lng=-73.97534999999999, lat=40.7516269}",$5.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
8,DOWNTOWN DELI 107 CHURCH STREET New York NY 10007,40.713292500000001,-74.009208400000006,"{lng=-74.00920839999999, lat=40.7132925}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
9,BULLY'S DELI 759 BROADWAY New York NY 10003,40.730934599999998,-73.992530599999995,"{lng=-73.9925306, lat=40.7309346}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
11,PJ BERNSTEIN DELI & RESTAURANT 1215 THIRD AVENUE New York NY 10021,40.768478799999997,-73.961217800000000,"{lng=-73.9612178, lat=40.7684788}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
15,BEL PAESE ITALIAN DELI 459 LEXINGTON AVENUE New York NY 10017,40.753413899999998,-73.974358400000000,"{lng=-73.9743584, lat=40.7534139}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
16,TAL BAGELS DELI 975-979 FIRST AVENUE New York NY 10022,40.756311300000000,-73.964661699999994,"{lng=-73.9646617, lat=40.7563113}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
17,BEN ASH DELICATESSEN 855 7 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
18,CHAMP'S DELI 71 BROADWAY New York NY 10006,40.707601900000000,-74.012849500000002,"{lng=-74.0128495, lat=40.7076019}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
19,STAGE DOOR DELI 26 VESEY STREET New York NY 10007,40.712104199999999,-74.009712800000003,"{lng=-74.0097128, lat=40.7121042}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
20,SMILER'S DELI 532 MADISON AVENUE New York NY 10022,40.760574400000003,-73.973891699999996,"{lng=-73.9738917, lat=40.7605744}",$6.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
25,DELI PLUS ( INSIDE PORT AUTHORITY STATION) 625 8 AVENUE New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
30,DON PEPIS DELICATESSEN 0 AMTRAK LEVEL New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
32,LA DELICE PASTRY SHOP 372 3 AVENUE New York NY 10016,40.747270000000000,-73.980064499999997,"{lng=-73.9800645, lat=40.74727}",$4.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
34,FOOD MART DELI 1321 YORK AVENUE New York NY 10021,40.765955800000000,-73.954409600000005,"{lng=-73.95440959999999, lat=40.7659558}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
